WOType,PONumber,Work_Order_Basic_Start_Date,ACtStartDate,ShortText,WorkCentre,Work_Order_Functional_Location,Functional_Location_Sort_Field,Functional_Location_Description,Work_Order_Type,Work_Order_Total_Actual_Cost
PM01,1,10/07/2005,10/07/2005,replace lube tank fill hose.,WC1,1234.01.01,EXAMPLE,grease lube system,X,200
PM01,2,10/07/2005,10/07/2005,checked rotary head alignment,WC1,1234.01.02,EXAMPLE,mast,Y,300
PM01,3,10/07/2005,10/07/2005,reweld shock sub to rotary head,WC1,1234.01.03,EXAMPLE,subs/adaptors,Z,400
PM01,4,27/07/2005,28/07/2005,centre tank not filling with water,WC1,1234.01.04,EXAMPLE,water injection system,X,500
PM01,5,2/07/2001,2/07/2001,hydraulic pump failure,WC2,1234.01.05,EXAMPLE,implement pump,Y,600
PM01,6,1/07/2001,2/07/2001,pump drive box coupling and shaft u/s.,WC2,1234.01.06,EXAMPLE,#NAME?,Z,700
PM01,7,11/07/2005,0/1/00,repair engine excessive blowby,WC1,1234.01.07,EXAMPLE,engine,X,800
PM01,8,16/07/2005,0/1/00,two broken growser bolts r/h side,WC1,1234.01.08,EXAMPLE,track - right,Y,900
PM01,9,27/07/2005,0/1/00,adjust all head slides,WC1,1234.01.09,EXAMPLE,rotary guide frame,Z,1000
PM01,10,27/07/2005,28/07/2005,change out main gearbox oil to 85/140,WC1,1234.01.10,EXAMPLE,oil - pump drive gearbox,X,1100
PM01,11,27/07/2005,28/07/2005,change out both finaldrive oil to 85/140,WC1,1234.01.11,EXAMPLE,final drive assemblies,Y,1200
PM01,12,27/07/2005,28/07/2005,change out rotory head gearbox oil,WC1,1234.01.12,EXAMPLE,oil - rotary gearcase,Z,1300
PM01,13,11/07/2005,11/07/2005,oil is discoloured(contaminated),WC1,1234.01.13,EXAMPLE,pump drive gearbox rear,X,1400
PM01,14,11/07/2005,0/1/00,repair exhaust leaks at turbo area,WC1,1234.01.14,EXAMPLE,turbocharger,Y,1500
PM01,15,11/07/2005,12/07/2005,refit rh bucket pin,WC1,1234.01.15,EXAMPLE,dipper handle,Z,1600
PM01,16,11/07/2005,0/1/00,replace filters.,WC1,1234.01.16,EXAMPLE,drill truck mechanical  model1 NA,X,1700
PM01,17,11/07/2005,12/07/2005,check out 240v inverter for operator,WC1,1234.01.17,EXAMPLE,240v inverter,Y,1800
PM01,18,12/07/2005,12/07/2005,replace engine shutdown solenoid,WC1,1234.01.18,EXAMPLE,engine,Z,1900
PM01,19,12/07/2005,12/07/2005,repair wiring on air con compressor,WC1,1234.01.19,EXAMPLE,cab a/c compressor,X,2000
PM01,20,12/07/2001,0/1/00,check l.v. slip rings and modify cabinet,WC1,1234.01.20,EXAMPLE,electrical,Y,2100
PM01,21,12/07/2001,0/1/00,replace airline auto-drain on step syste,WC1,1234.02.01,EXAMPLE,ladder/steps,Z,2200
PM01,22,12/07/2001,0/1/00,e-repairs to busbars as a result of brea,WC1,1234.02.02,EXAMPLE,electrical,X,2300
PM01,23,29/08/2001,0/1/00,fit new fan assy. to quincy compressor a,WC1,1234.02.03,EXAMPLE,air compressor,Y,2400
PM01,24,7/08/2001,0/1/00,paint height markings on side of boom,WC1,1234.02.04,EXAMPLE,boom,Z,2500
PM01,25,12/07/2001,18/07/2001,replace crowd blower expansion ducting,WC1,1234.02.05,EXAMPLE,crowd,X,2600
PM01,26,16/07/2001,16/07/2001,e/m relocate a/c from ITEM_ID,WC1,1234.02.06,EXAMPLE,air conditioning,Y,2700
